,Title,Company,Location,Job Description,When Posted
103,"Senior Manager, Data Science - Advertising Measurement - Walmart Connect",Walmart,"Los Angeles, CA 90066 ","Position Summary... What you'll do... Walmart Connect is key to Walmart's growth strategy. Walmart has built a ~$3 billion dollar closed loop, in-house…",Posted 16 days ago·
104,"Associate Director, Analytics","Horizon Media, Inc.","Los Angeles, CA","Job Description Job Summary Horizon Media runs the premier marketing analytics practice in the United States combining great technology, methods and talent…",Posted 30+ days ago·
105,Applications Programmer III - Radiological Sciences,UCLA Health,"Los Angeles, CA 90095","Bachelor’s degree in Computer Science, Electrical engineering or related field - required * Masters degree in Informatics or related filed - preferred * At…",Posted 3 days ago·
106,Principal AM Process Development Engineer,Divergent 3D,"Torrance, CA",7)Assure proper formulation and design of experiments and thorough documentation of technical data generated for the assigned projects and / or tasks consistent…,Posted 30+ days ago·
107,Sr Product Manager II,Disney Direct to Consumer,"Santa Monica, CA","Managing large scale implementation of data sets including - data ingestion, integration and reporting tools experience.",Posted 30+ days ago·
108,"Staff Data Scientist, Advanced Analytics and Engineering",Match Group,"Hybrid remote in West Hollywood, CA","The ideal candidate will have the right mix of hard and soft skills that allows them to technically mentor data scientists, while also effectively communicating…",Posted 30+ days ago·
109,Postdoctoral Scholar in Machine Learning in Medicine,UCLA,"Los Angeles, CA","PhD in engineering, computer science, or related field.",Posted 30+ days ago·
110,Software Engineer II,Dyno Labs,"Los Angeles, CA","Experience in working with big data technologies (e.g., Apache Spark, Hadoop) for data processing and model training.",Posted 30+ days ago·
111,Master of Applied Statistics and Data Science Lecturer - Spring 2024,UCLA,"Los Angeles, CA","Ideal candidates will have a Ph.D. in Statistics (or a related field) or relevant industry experience, a demonstrated excellence in teaching, knowledge of and…",Posted 10 days ago·
112,"Executive Director, Data Solutions Business Partnerships","Sony Pictures Entertainment, Inc.","Culver City, CA","Provide ongoing data product, advanced analytics and data-science Solutioning development support and coordination, representing business to support solution…",Posted 30+ days ago·
113,"Senior Director, Analytics - Ad Sales",Spotter,"Los Angeles, CA","Experience with data mining, and/or predictive modeling, and data interpretation.",Posted 2 days ago·
